Date,ANET,AXP,IR,ODFL,PCAR,WIRE,WTS
2021-04-14,78.11750030517578,142.22398376464844,49.239803314208984,245.28125,55.35337829589844,70.75845336914062,116.19672393798828
2021-04-15,78.70999908447266,143.29486083984375,49.17999267578125,247.4580841064453,56.18704605102539,71.9863510131836,117.39192199707031
2021-04-16,79.1675033569336,144.7034454345703,50.07707977294922,248.72457885742188,56.122013092041016,70.75845336914062,118.08746337890625
2021-04-19,78.70249938964844,143.30450439453125,50.744903564453125,245.3010711669922,55.19374465942383,70.72850036621094,117.92092895507812
2021-04-20,77.38249969482422,139.9857635498047,50.17675018310547,245.0338897705078,54.45466613769531,69.46066284179688,117.46047973632812
2021-04-21,79.1050033569336,141.992431640625,50.78477478027344,244.103759765625,55.359283447265625,71.55707550048828,119.73326873779297
2021-04-22,78.2074966430664,141.97315979003906,51.07383346557617,248.1111602783203,54.51970672607422,70.32918548583984,119.79205322265625
2021-04-23,79.66000366210938,139.24290466308594,51.45259475708008,255.04734802246094,55.19374465942383,71.74676513671875,121.31053924560547
2021-04-26,80.26750183105469,145.04104614257812,51.06386184692383,250.8223114013672,55.18781661987305,72.05622100830078,121.22236633300781
2021-04-27,79.75499725341797,145.0603485107422,51.04392623901367,255.64100646972656,53.9698371887207,74.47205352783203,120.71292877197266
2021-04-28,80.19000244140625,147.16354370117188,51.77155685424805,254.51307678222656,53.61507797241211,75.79979705810547,121.05581665039062
2021-04-29,80.62750244140625,149.17987060546875,51.07383346557617,256.5810546875,54.3364143371582,75.13095092773438,123.19145202636719
2021-04-30,78.7925033569336,147.9449920654297,49.24977111816406,255.09683227539062,53.14208221435547,74.55193328857422,122.015869140625
2021-05-03,78.67749786376953,149.3438720703125,48.14336013793945,258.91632080078125,53.68012237548828,76.85796356201172,120.91866302490234
2021-05-04,76.38500213623047,149.0833740234375,49.050411224365234,261.96380615234375,53.24850082397461,78.00599670410156,123.75965881347656
2021-05-05,79.18499755859375,150.87782287597656,49.24977111816406,261.350341796875,53.94027328491211,78.15574645996094,126.02265930175781
2021-05-06,81.81500244140625,151.35055541992188,49.36937713623047,262.1715393066406,55.41841506958008,80.02253723144531,131.62628173828125
2021-05-07,82.12999725341797,153.3765411376953,50.36613845825195,266.7330627441406,55.873680114746094,81.53994750976562,133.56600952148438
2021-05-10,81.55000305175781,153.08712768554688,49.95746612548828,267.28717041015625,56.600921630859375,80.45178985595703,136.16209411621094
2021-05-11,81.68499755859375,148.9868927001953,48.00381851196289,261.36029052734375,56.227108001708984,80.6314926147461,134.2811737060547
2021-05-12,78.94249725341797,146.9320068359375,46.97716522216797,253.681884765625,54.500423431396484,77.8362808227539,130.5388641357422
2021-05-13,79.47000122070312,148.6492462158203,47.415733337402344,261.1920471191406,55.912635803222656,80.3619613647461,135.76039123535156
2021-05-14,81.59500122070312,151.6110382080078,48.38258743286133,266.7330627441406,56.16777038574219,81.1805419921875,136.16209411621094
2021-05-17,81.44750213623047,151.3312530517578,48.601871490478516,267.3861389160156,55.6574821472168,82.37847900390625,133.0467529296875
2021-05-18,81.41999816894531,149.5271759033203,48.262977600097656,262.2309265136719,54.01979446411133,81.2704086303711,130.44088745117188
2021-05-19,80.89250183105469,149.27633666992188,47.585182189941406,261.3701171875,54.15626907348633,80.26212310791016,129.17715454101562
2021-05-20,83.98249816894531,150.04815673828125,48.11346435546875,261.81536865234375,53.883323669433594,80.322021484375,129.45144653320312
2021-05-21,83.03250122070312,151.34091186523438,48.71151351928711,260.1728820800781,54.60721969604492,80.47176361083984,130.04905700683594
2021-05-24,84.11499786376953,153.0485382080078,49.4291877746582,261.9044189453125,54.49448776245117,80.95093536376953,129.80409240722656
2021-05-25,84.57499694824219,152.4407196044922,48.522132873535156,258.5798034667969,53.72904968261719,80.70136260986328,129.8824920654297
